date,steps,distance,runDistance,calories
2019-11-17,18694,13297,944,478
2019-11-18,20187,14839,3588,598
2019-11-19,11778,8799,721,336
2019-11-20,18657,13764,1458,521
2019-11-21,12678,9296,924,347
2019-11-22,25160,20444,7880,986
2019-11-23,14824,11040,855,404
2019-11-24,9612,7005,1186,275
2019-11-25,9677,6939,724,255
2019-11-26,13671,10365,730,398
2019-11-27,11597,8498,1527,328
2019-11-28,8945,6685,963,269
2019-11-29,6789,4991,479,204
2019-11-30,5613,4328,119,170
2019-12-01,6874,5110,524,201
2019-12-02,14263,10380,1009,394
2019-12-03,9141,7029,683,273
2019-12-04,12009,8869,1017,338
2019-12-05,7795,5676,783,217
2019-12-06,6156,4536,102,161
2019-12-07,6895,4995,211,180
2019-12-08,7838,5833,270,218
2019-12-09,11033,8223,1231,320
2019-12-10,9135,6831,928,270
2019-12-11,9327,6868,724,260
2019-12-12,9259,6946,595,282
2019-12-13,309,206,0,7
2019-12-15,3871,2936,146,114
2019-12-16,10505,7739,913,292
2019-12-17,8277,6150,160,226
2019-12-18,7581,5736,555,223
2019-12-19,9959,7546,965,309
2019-12-20,11338,8425,443,324
2019-12-21,8630,6272,372,236
2019-12-22,9817,7368,360,280
2019-12-23,14063,10514,1033,405
2019-12-24,7141,5355,704,212
2019-12-25,7378,5480,339,206
2019-12-26,8296,6389,327,254
2019-12-27,4479,3364,184,126
2019-12-28,841,566,46,19
2019-12-29,10787,7853,697,286
2019-12-30,9236,6819,649,258
2019-12-31,8086,6179,582,242
2020-01-01,9059,6647,272,243
2020-01-02,6453,4801,288,182
2020-01-03,5828,4319,169,158
2020-01-04,3967,2918,214,113
2020-01-05,4387,3161,250,116
2020-01-06,6883,5119,193,193
2020-01-07,3256,2439,308,99
2020-01-08,4022,2844,319,111
2020-01-09,1809,1203,134,49
2020-01-10,2804,2005,149,82
2020-01-11,1913,1444,165,60
2020-01-12,3454,2405,264,87
2020-01-13,5646,4283,209,168
2020-01-14,8666,6721,244,274
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
